Tahun,Bulan,Jenisklaim,kategori,SEP,Rupiah
2025,Juli,Rawat Jalan,Reguler,"6,968","1,731,523,250"
2025,Juli,Rawat Jalan,Pensul 1,0,0
2025,Juli,Rawat Jalan,Pensul 2,0,0
2025,Juli,Rawat Jalan,Pensul 3,0,0
2025,Agustus,Rawat Jalan,Reguler,"8,452","2,168,301,600"
2025,Agustus,Rawat Jalan,Pensul 1,0,0
2025,Agustus,Rawat Jalan,Pensul 2,0,0
2025,Agustus,Rawat Jalan,Pensul 3,0,0
2025,September,Rawat Jalan,Reguler,"9,545","2,462,140,000"
2025,September,Rawat Jalan,Pensul 1,0,0
2025,September,Rawat Jalan,Pensul 2,0,0
2025,September,Rawat Jalan,Pensul 3,0,0
2025,Oktober,Rawat Jalan,Reguler,"9,755","2,564,121,800"
2025,Oktober,Rawat Jalan,Pensul 1,0,0
2025,Oktober,Rawat Jalan,Pensul 2,0,0
2025,Oktober,Rawat Jalan,Pensul 3,0,0
2025,Nopember,Rawat Jalan,Reguler,"10,626","2,717,685,900"
2025,Nopember,Rawat Jalan,Pensul 1,"1,726","544,243,500"
2025,Nopember,Rawat Jalan,Pensul 2,0,0
2025,Nopember,Rawat Jalan,Pensul 3,0,0
2025,Desember,Rawat Jalan,Reguler,"8,773","2,279,482,750"
2025,Desember,Rawat Jalan,Pensul 1,"1,599","396,733,300"
2025,Desember,Rawat Jalan,Pensul 2,4,"907,600"
2025,Desember,Rawat Jalan,Pensul 3,0,0
2026,Januari,Rawat Jalan,Reguler,"9,431","2,300,749,850"
2026,Januari,Rawat Jalan,Pensul 1,211,"71,044,950"
2026,Januari,Rawat Jalan,Pensul 2,16,"3,831,200"
2026,Januari,Rawat Jalan,Pensul 3,0,0
2026,Februari,Rawat Jalan,Reguler,"9,476","2,494,454,700"
2026,Februari,Rawat Jalan,Pensul 1,116,"27,920,350"
2026,Februari,Rawat Jalan,Pensul 2,6,"1,376,900"
2026,Februari,Rawat Jalan,Pensul 3,0,0
2026,Maret,Rawat Jalan,Reguler,"8,373","2,171,327,300"
2026,Maret,Rawat Jalan,Pensul 1,175,"143,255,550"
2026,Maret,Rawat Jalan,Pensul 2,537,"129,281,050"
2026,Maret,Rawat Jalan,Pensul 3,0,0
2026,April,Rawat Jalan,Reguler,"8,221","1,968,044,500"
2026,April,Rawat Jalan,Pensul 1,0,0
2026,April,Rawat Jalan,Pensul 2,30,"6,883,500"
2026,April,Rawat Jalan,Pensul 3,0,0
2025,Juli,Rawat Inap,Reguler,472,"2,451,336,600"
2025,Juli,Rawat Inap,Pensul 1,0,0
2025,Juli,Rawat Inap,Pensul 2,0,0
2025,Juli,Rawat Inap,Pensul 3,0,0
2025,Agustus,Rawat Inap,Reguler,567,"2,451,336,600"
2025,Agustus,Rawat Inap,Pensul 1,0,0
2025,Agustus,Rawat Inap,Pensul 2,0,0
2025,Agustus,Rawat Inap,Pensul 3,0,0
2025,September,Rawat Inap,Reguler,537,"2,769,056,500"
2025,September,Rawat Inap,Pensul 1,0,0
2025,September,Rawat Inap,Pensul 2,0,0
2025,September,Rawat Inap,Pensul 3,0,0
2025,Oktober,Rawat Inap,Reguler,565,"2,855,978,800"
2025,Oktober,Rawat Inap,Pensul 1,0,0
2025,Oktober,Rawat Inap,Pensul 2,0,0
2025,Oktober,Rawat Inap,Pensul 3,0,0
2025,Nopember,Rawat Inap,Reguler,644,"3,100,715,300"
2025,Nopember,Rawat Inap,Pensul 1,79,"552,687,100"
2025,Nopember,Rawat Inap,Pensul 2,0,0
2025,Nopember,Rawat Inap,Pensul 3,0,0
2025,Desember,Rawat Inap,Reguler,581,"3,105,598,400"
2025,Desember,Rawat Inap,Pensul 1,92,"585,498,900"
2025,Desember,Rawat Inap,Pensul 2,2,"85,266,700"
2025,Desember,Rawat Inap,Pensul 3,1,"72,975,900"
2026,Januari,Rawat Inap,Reguler,532,"2,567,700,500"
2026,Januari,Rawat Inap,Pensul 1,81,"483,935,600"
2026,Januari,Rawat Inap,Pensul 2,1,"19,924,500"
2026,Januari,Rawat Inap,Pensul 3,0,0
2026,Februari,Rawat Inap,Reguler,529,"2,537,739,600"
2026,Februari,Rawat Inap,Pensul 1,74,"379,405,900"
2026,Februari,Rawat Inap,Pensul 2,1,"4,073,900"
2026,Februari,Rawat Inap,Pensul 3,0,0
2026,Maret,Rawat Inap,Reguler,418,"2,245,036,200"
2026,Maret,Rawat Inap,Pensul 1,74,"425,833,200"
2026,Maret,Rawat Inap,Pensul 2,36,"215,876,900"
2026,Maret,Rawat Inap,Pensul 3,0,0
2026,April,Rawat Inap,Reguler,398,"2,067,355,500"
2026,April,Rawat Inap,Pensul 1,0,0
2026,April,Rawat Inap,Pensul 2,2,"17,471,500"
2026,April,Rawat Inap,Pensul 3,0,0
